LOINC_CODE,DTA_DESC
43638-6,NMO-IgG - Aquaporin 4 receptor IgG Ab [Presence] in Serum or Plasma
84873-9,MOG-IgG - Myelin oligodendrocyte glycoprotein IgG Ab [Titer] in Serum or Plasma by Immunofluorescence
82981-2,NMDA-IgG - N-methyl-D-aspartate receptor Ab.IgG
82978-8,LGI1_IgG - Leucine-rich glioma-inactivated protein 1 IgG Ab [Presence] in Serum or Plasma by Immunofluorescence
82979-6,CASPR2-IgG - Contactin-associated protein 2 Ab.IgG
84931-5,GABA-B-R Ab - Gamma aminobutyrate B receptor Ab
84929-9,AMPA_R Ab - Alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionate receptor 1 Ab
806-0,WBC mm3 in CSF - Leukocytes [#/volume] in Cerebral spinal fluid by Manual count
26940-7,Myelin Basic Protein in CSF - Myelin basic protein [Units/volume] in Cerebral spinal fluid
82988-7,NMDA-IgG in CSF - N-methyl-D-aspartate receptor Ab.IgGE
80220-7,NMDA-IgG Titer in CSF - N-methyl-D-aspartate receptor Ab.IgGE
20509-6,Hemoglobin [Mass/volume] in Blood by calculation
62236-5,Pyridoxal phosphate [Moles/volume] in Serum or Plasma
50231-0,Hyaline casts [Presence] in Urine by Automated
53115-2,Immature granulocytes [#/volume] in Blood by Automated count
53318-2,Epithelial cells.squamous [Presence] in Urine by Automated
71695-1,Immature granulocytes/100 leukocytes in Blood by Automated count
10374-7,Helmet cells [Presence] in Blood by Light microscopy
10378-8,Polychromasia [Presence] in Blood by Light microscopy
10381-2,Target cells [Presence] in Blood by Light microscopy
11274-8,Elliptocytes [Presence] in Blood by Light microscopy
42595-9,Hepatitis B virus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection
50221-1,Bacteria [Presence] in Urine by Automated
53292-9,Erythrocytes [Presence] in Urine by Automated
53316-6,Leukocytes [Presence] in Urine by Automated
57734-6,Ketones [Presence] in Urine by Automated test strip
702-1,Anisocytosis [Presence] in Blood by Light microscopy
728-6,Hypochromia [Presence] in Blood by Light microscopy
738-5,Macrocytes [Presence] in Blood by Light microscopy
741-9,Microcytes [Presence] in Blood by Light microscopy
779-9,Poikilocytosis [Presence] in Blood by Light microscopy
7790-9,Burr cells [Presence] in Blood by Light microscopy
32710-6,Nitrite [Presence] in Urine
47528-5,Cytology report of Cervical or vaginal smear or scraping Cyto stain
50555-2,Glucose [Presence] in Urine by Automated test strip
50563-6,Urobilinogen [Mass/volume] in Urine by Automated test strip
51487-7,Leukocytes [#/volume] in Urine by Automated count
53321-6,Mucus [Presence] in Urine by Automated
57735-3,Protein [Presence] in Urine by Automated test strip
5810-7,Specific gravity of Urine by Refractometry
883-9,ABO group [Type] in Blood
11580-8,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L
10330-9,Monocytes/100 leukocytes in Body fluid by Manual count
11031-2,Lymphocytes/100 leukocytes in Body fluid
11125-2,Platelet morphology finding [Identifier] in Blood
11134-4,Appearance of Spun Body fluid
11156-7,Leukocyte morphology finding [Identifier] in Blood
11282-1,Cells Counted Total [#] in Blood
12454-5,Urate crystals amorphous [Presence] in Urine sediment by Light microscopy
23860-0,Erythrocytes [#/volume] in Body fluid by Automated count
34714-6,INR in Blood by Coagulation assay
53319-0,Crystals [Presence] in Urine by Automated
71690-2,Nucleated cells [#/volume] in Body fluid by Automated count
72223-1,Yeast [Presence] in Urine by Automated
739-3,Metamyelocytes [#/volume] in Blood by Manual count
748-4,Myelocytes [#/volume] in Blood by Manual count
768-2,Segmented neutrophils [#/volume] in Blood by Manual count
769-0,Segmented neutrophils/100 leukocytes in Blood by Manual count
7791-7,Dacrocytes [Presence] in Blood by Light microscopy
7793-3,Howell-Jolly bodies [Presence] in Blood by Light microscopy
802-9,Spherocytes [Presence] in Blood by Light microscopy
82477-1,Erythrocyte sedimentation rate by Photometric method
83108-1,Natriuretic peptide.B prohormone N-Terminal [Moles/volume] in Serum or Plasma by Immunoassay
94547-7,SARS coronavirus 2 IgG+IgM Ab [Presence] in Serum or Plasma by Immunoassay
94531-1,SARS coronavirus 2 RNA panel - Respiratory specimen by NAA with probe detection
94532-9,SARS coronavirus+SARS-like coronavirus+SARS coronavirus 2+MERS coronavirus RNA [Presence] in Respiratory specimen by NAA with probe detection
94533-7,SARS coronavirus 2 N gene [Presence] in Respiratory specimen by NAA with probe detection
94534-5,SARS coronavirus 2 RdRp gene [Presence] in Respiratory specimen by NAA with probe detection
94499-1,Respiratory viral pathogens DNA and RNA panel - Respiratory specimen Qualitative by NAA with probe detection
94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection
94501-4,Middle East respiratory syndrome coronavirus (MERS-CoV) RNA [Presence] in Respiratory specimen by NAA with probe detection
94502-2,SARS coronavirus+SARS-like coronavirus+SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection
94503-0,SARS coronavirus 2 IgG and IgM panel - Serum or Plasma Qualitative by Immunoassay
94505-5,SARS coronavirus 2 IgG Ab [Units/volume] in Serum or Plasma by Immunoassay
94506-3,SARS coronavirus 2 IgM Ab [Units/volume] in Serum or Plasma by Immunoassay
94504-8,SARS coronavirus 2 IgG and IgM panel - Serum or Plasma by Immunoassay
94507-1,SARS coronavirus 2 IgG Ab [Presence] in Serum or Plasma by Immunoassay
94509-7,SARS coronavirus 2 E gene [Cycle Threshold #] in Unspecified specimen by NAA with probe detection
94508-9,SARS coronavirus 2 IgM Ab [Presence] in Serum or Plasma by Immunoassay
94510-5,SARS coronavirus 2 N gene [Cycle Threshold #] in Unspecified specimen by NAA with probe detection
94511-3,SARS coronavirus 2 ORF1ab region [Cycle Threshold #] in Unspecified specimen by NAA with probe detection
94306-8,SARS coronavirus 2 RNA panel - Unspecified specimen by NAA with probe detection
94307-6,SARS coronavirus 2 N gene [Presence] in Unspecified specimen by Nucleic acid amplification using primer-probe set N1
94308-4,SARS coronavirus 2 N gene [Presence] in Unspecified specimen by Nucleic acid amplification using primer-probe set N2
94309-2,SARS coronavirus 2 RNA [Presence] in Unspecified specimen by NAA with probe detection
94310-0,SARS-like coronavirus N gene [Presence] in Unspecified specimen by NAA with probe detection
94311-8,SARS coronavirus 2 N gene [Cycle Threshold #] in Unspecified specimen by Nucleic acid amplification using primer-probe set N1
94312-6,SARS coronavirus 2 N gene [Cycle Threshold #] in Unspecified specimen by Nucleic acid amplification using primer-probe set N2
94313-4,SARS-like coronavirus N gene [Cycle Threshold #] in Unspecified specimen by NAA with probe detection
94314-2,SARS coronavirus 2 RdRp gene [Presence] in Unspecified specimen by NAA with probe detection
94315-9,SARS coronavirus 2 E gene [Presence] in Unspecified specimen by NAA with probe detection
94316-7,SARS coronavirus 2 N gene [Presence] in Unspecified specimen by NAA with probe detection
94542-8,Leprosy [Type]
94543-6,Microscopic observation [Identifier] in Skin by Acid fast stain
94545-1,Household contacts [#]
94544-4,Exposure source in 30 days prior to onset of illness
