field,label,description,temporal,category,subcategory,identifier
id,Medical record number,Medical record number,0,Demographics,,1
address-city,Address (city),Address (city),0,Demographics,,0
address-country,Address (country),Address (country),0,Demographics,,0
address-postalCode,Address (postal code),Address (postal code),0,Demographics,,0
address-state,Address (state),Address (state),0,Demographics,,0
address-line,Address (street),Address (street),0,Demographics,,0
birthDate,Date of birth,Date of birth,0,Demographics,,0
name-given,First name,First name,0,Demographics,,0
name-family,Last name,Last name,0,Demographics,,0
phone-home,Phone number (home),Phone number (home),0,Demographics,,0
phone-mobile,Phone number (mobile),Phone number (mobile),0,Demographics,,0
email,Email address,Email address,0,Demographics,,0
gender,Sex,Sex,0,Demographics,,0
race,Race,Race,0,Demographics,,0
ethnicity,Ethnicity,Ethnicity,0,Demographics,,0
deceasedBoolean,Is deceased,Is deceased,0,Demographics,,0
preferred-language,Preferred language,Preferred language,0,Demographics,,0
problem-list,Problem list and health concerns,Problem list and health concerns,0,Condition,,0
active-medications-list,Active medications list,Active medications list,0,Medications,,0
completed-medications-list,Completed medications list,Completed medications list,0,Medications,,0
on-hold-medications-list,On hold medications list,On hold medications list,0,Medications,,0
stopped-medications-list,Stopped medications list,Stopped medications list,0,Medications,,0
allergy-list,Allergy intolerance,Allergy intolerance,0,Allergy Intolerance,,0
8302-2,Body height,Body height,1,Vital Signs,,0
8310-5,Body temperature,Body temperature,1,Vital Signs,,0
3141-9,Body weight,Body weight,1,Vital Signs,,0
8462-4,Diastolic blood pressure,Diastolic blood pressure,1,Vital Signs,,0
8867-4,Heart rate,Heart rate,1,Vital Signs,,0
9279-1,Respiratory rate,Respiratory rate,1,Vital Signs,,0
8480-6,Systolic blood pressure,Systolic blood pressure,1,Vital Signs,,0
86908-1,Systolic blood pressure goal,Systolic blood pressure goal,1,Vital Signs,,0
8357-6,Blood pressure method,Blood pressure method,1,Vital Signs,,0
41904-4,Blood pressure measurement site,Blood pressure measurement site,1,Vital Signs,,0
72076-3,Blood pressure home reading,Blood pressure home reading,1,Vital Signs,,0
35094-2,Blood pressure panel,Blood pressure panel,1,Vital Signs,,0
43152-8,Blood pressure device panel,Blood pressure device panel,1,Vital Signs,,0
55284-4,Blood pressure systolic and diastolic,Blood pressure systolic and diastolic,1,Vital Signs,,0
39156-5,Body mass index (BMI) [Ratio],Body mass index (BMI) [Ratio],1,Vital Signs,,0
72166-2,Tobacco smoking status,Tobacco smoking status,1,Vital Signs,,0
76539-6,Blood pressure device Cuff pressure.diastolic,Blood pressure device Cuff pressure.diastolic,1,Vital Signs,,0
76538-8,Blood pressure device Cuff pressure.systolic,Blood pressure device Cuff pressure.systolic,1,Vital Signs,,0
8459-0,Systolic blood pressure--sitting,Systolic blood pressure--sitting,1,Vital Signs,,0
8460-8,Systolic blood pressure--standing,Systolic blood pressure--standing,1,Vital Signs,,0
8461-6,Systolic blood pressure--supine,Systolic blood pressure--supine,1,Vital Signs,,0
8453-3,Diastolic blood pressure--sitting,Diastolic blood pressure--sitting,1,Vital Signs,,0
8454-1,Diastolic blood pressure--standing,Diastolic blood pressure--standing,1,Vital Signs,,0
8455-8,Diastolic blood pressure--supine,Diastolic blood pressure--supine,1,Vital Signs,,0
8514-2,Brachial artery - left Diastolic blood pressure,Brachial artery - left Diastolic blood pressure,1,Vital Signs,,0
8546-4,Brachial artery - left Systolic blood pressure,Brachial artery - left Systolic blood pressure,1,Vital Signs,,0
8515-9,Brachial artery - right Diastolic blood pressure,Brachial artery - right Diastolic blood pressure,1,Vital Signs,,0
8547-2,Brachial artery - right Systolic blood pressure,Brachial artery - right Systolic blood pressure,1,Vital Signs,,0
61008-9,Body surface temperature,Body surface temperature,1,Vital Signs,Body temperature|Temp|Pt|<Chal:None>,0
8335-2,Body weight Estimated,Body weight Estimated,1,Vital Signs,Body weight|Mass|Pt|^Patient,0
8348-5,Body weight Measured --pre pregnancy,Body weight Measured --pre pregnancy,1,Vital Signs,Body weight|Mass|Pt|^Patient,0
33438-3,Breath rate mechanical --on ventilator,Breath rate mechanical --on ventilator,1,Vital Signs,Breaths|NRat|Pt|<Chal:None>,0
19840-8,Breath rate spontaneous and mechanical --on ventilator,Breath rate spontaneous and mechanical --on ventilator,1,Vital Signs,Breaths|NRat|Pt|<Chal:None>,0
19839-0,Breath rate spontaneous --on ventilator,Breath rate spontaneous --on ventilator,1,Vital Signs,Breaths|NRat|Pt|<Chal:None>,0
55283-6,Fetal Heart rate,Fetal Heart rate,1,Vital Signs,Heart rate|NRat|Pt|<Chal:None>,0
69000-8,Heart rate --sitting,Heart rate --sitting,1,Vital Signs,Heart rate|NRat|Pt|<Chal:None>,0
69001-6,Heart rate --standing,Heart rate --standing,1,Vital Signs,Heart rate|NRat|Pt|<Chal:None>,0
68999-2,Heart rate --supine,Heart rate --supine,1,Vital Signs,Heart rate|NRat|Pt|<Chal:None>,0
40441-8,Respiratory rate --post exercise,Respiratory rate --post exercise,1,Vital Signs,Breaths|NRat|Pt|<Chal:None>,0
9298-1,Respiratory rate --post inhalation therapy,Respiratory rate --post inhalation therapy,1,Vital Signs,Breaths|NRat|Pt|<Chal:None>,0
9302-1,Respiratory rate --pre inhalation therapy,Respiratory rate --pre inhalation therapy,1,Vital Signs,Breaths|NRat|Pt|<Chal:None>,0
9303-9,Respiratory rate --resting,Respiratory rate --resting,1,Vital Signs,Breaths|NRat|Pt|<Chal:None>,0
80630-7,"1,2-Dichloroethane [Mass/volume] in Blood","1,2-Dichloroethane [Mass/volume] in Blood",1,Laboratory,"1,2-Dichloroethane|MCnc|Pt|ANYBldSerPlas",0
54935-2,"1,2-Dichloroethane [Mass/volume] in Serum or Plasma","1,2-Dichloroethane [Mass/volume] in Serum or Plasma",1,Laboratory,"1,2-Dichloroethane|MCnc|Pt|ANYBldSerPlas",0
13650-7,"1,2-Dimethylbenzene [Mass/volume] in Blood","1,2-Dimethylbenzene [Mass/volume] in Blood",1,Laboratory,"1,2-Dimethylbenzene|MCnc|Pt|ANYBldSerPlas",0
29144-3,"1,2-Dimethylbenzene [Mass/volume] in Serum or Plasma","1,2-Dimethylbenzene [Mass/volume] in Serum or Plasma",1,Laboratory,"1,2-Dimethylbenzene|MCnc|Pt|ANYBldSerPlas",0
18240-2,"1,3-Dichlorobenzene [Mass/volume] in Blood","1,3-Dichlorobenzene [Mass/volume] in Blood",1,Laboratory,"1,3-Dichlorobenzene|MCnc|Pt|ANYBldSerPlas",0
74642-0,"1,3-Dichlorobenzene [Mass/volume] in Serum or Plasma","1,3-Dichlorobenzene [Mass/volume] in Serum or Plasma",1,Laboratory,"1,3-Dichlorobenzene|MCnc|Pt|ANYBldSerPlas",0
18433-3,"Deprecated 1,3-Dichlorobenzene [Mass/volume] in Blood","Deprecated 1,3-Dichlorobenzene [Mass/volume] in Blood",1,Laboratory,"1,3-Dichlorobenzene|MCnc|Pt|ANYBldSerPlas",0
13644-0,"1,3-Dimethylbenzene [Mass/volume] in Blood","1,3-Dimethylbenzene [Mass/volume] in Blood",1,Laboratory,"1,3-Dimethylbenzene|MCnc|Pt|ANYBldSerPlas",0
29145-0,"1,3-Dimethylbenzene [Mass/volume] in Serum or Plasma","1,3-Dimethylbenzene [Mass/volume] in Serum or Plasma",1,Laboratory,"1,3-Dimethylbenzene|MCnc|Pt|ANYBldSerPlas",0
17424-3,"1,4-Dichlorobenzene [Mass/volume] in Blood","1,4-Dichlorobenzene [Mass/volume] in Blood",1,Laboratory,"1,4-Dichlorobenzene|MCnc|Pt|ANYBldSerPlas",0
13006-2,"1,4-Dichlorobenzene [Mass/volume] in Serum or Plasma","1,4-Dichlorobenzene [Mass/volume] in Serum or Plasma",1,Laboratory,"1,4-Dichlorobenzene|MCnc|Pt|ANYBldSerPlas",0
38758-9,"1,4-Dimethylbenzene [Mass/volume] in Air","1,4-Dimethylbenzene [Mass/volume] in Air",1,Laboratory,"1,4-Dimethylbenzene|ANYProp|ANYTm|ANYSys|ANYMeth",0
13651-5,"1,4-Dimethylbenzene [Mass/volume] in Blood","1,4-Dimethylbenzene [Mass/volume] in Blood",1,Laboratory,"1,4-Dimethylbenzene|ANYProp|ANYTm|ANYSys|ANYMeth",0
29143-5,"1,4-Dimethylbenzene [Mass/volume] in Serum or Plasma","1,4-Dimethylbenzene [Mass/volume] in Serum or Plasma",1,Laboratory,"1,4-Dimethylbenzene|ANYProp|ANYTm|ANYSys|ANYMeth",0
13651-5,"1,4-Dimethylbenzene [Mass/volume] in Blood","1,4-Dimethylbenzene [Mass/volume] in Blood",1,Laboratory,"1,4-Dimethylbenzene|MCnc|Pt|ANYBldSerPlas",0
29143-5,"1,4-Dimethylbenzene [Mass/volume] in Serum or Plasma","1,4-Dimethylbenzene [Mass/volume] in Serum or Plasma",1,Laboratory,"1,4-Dimethylbenzene|MCnc|Pt|ANYBldSerPlas",0
14258-8,"1,4-Dioxane [Mass/volume] in Blood","1,4-Dioxane [Mass/volume] in Blood",1,Laboratory,"1,4-Dioxane|MCnc|Pt|ANYBldSerPlas",0
14033-5,"1,4-Dioxane [Mass/volume] in Blood by Gas chromatography","1,4-Dioxane [Mass/volume] in Blood by Gas chromatography",1,Laboratory,"1,4-Dioxane|MCnc|Pt|ANYBldSerPlas",0
12997-3,"1,4-Dioxane [Mass/volume] in Serum or Plasma","1,4-Dioxane [Mass/volume] in Serum or Plasma",1,Laboratory,"1,4-Dioxane|MCnc|Pt|ANYBldSerPlas",0
60035-3,10-Hydroxycarbazepine [Mass/volume] in Blood,10-Hydroxycarbazepine [Mass/volume] in Blood,1,Laboratory,10-Hydroxycarbazepine|MCnc|Pt|ANYBldSerPlas,0
31019-3,10-Hydroxycarbazepine [Mass/volume] in Serum or Plasma,10-Hydroxycarbazepine [Mass/volume] in Serum or Plasma,1,Laboratory,10-Hydroxycarbazepine|MCnc|Pt|ANYBldSerPlas,0
49734-7,11-Dehydro thromboxane beta 2/Creatinine [Mass Ratio] in Urine,11-Dehydro thromboxane beta 2/Creatinine [Mass Ratio] in Urine,1,Laboratory,11-Dehydro thromboxane beta 2/Creatinine|MRto|Urine,0
50686-5,Deprecated 11-Dehydro thromboxane beta 2/Creatinine [Mass Ratio] in Urine,Deprecated 11-Dehydro thromboxane beta 2/Creatinine [Mass Ratio] in Urine,1,Laboratory,11-Dehydro thromboxane beta 2/Creatinine|MRto|Urine,0
82846-7,11-Dehydrocorticosterone+tetrahydrocorticosterone+allo-tetrahydrocorticosterone/Androsterone+etiocholanolone [Molar ratio] in 24 hour Urine,11-Dehydrocorticosterone+tetrahydrocorticosterone+allo-tetrahydrocorticosterone/Androsterone+etiocholanolone [Molar ratio] in 24 hour Urine,1,Laboratory,11-Dehydrocorticosterone+tetrahydrocorticosterone+Allo-tetrahydrocorticosterone/Androsterone+etiocholanolone|SRto|Urine,0
82847-5,11-Dehydrocorticosterone+tetrahydrocorticosterone+allo-tetrahydrocorticosterone/Androsterone+etiocholanolone [Molar ratio] in Urine,11-Dehydrocorticosterone+tetrahydrocorticosterone+allo-tetrahydrocorticosterone/Androsterone+etiocholanolone [Molar ratio] in Urine,1,Laboratory,11-Dehydrocorticosterone+tetrahydrocorticosterone+Allo-tetrahydrocorticosterone/Androsterone+etiocholanolone|SRto|Urine,0
82849-1,11-Dehydrocorticosterone+tetrahydrocorticosterone+allo-tetrahydrocorticosterone/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol [Molar ratio] in 24 hour Urine,11-Dehydrocorticosterone+tetrahydrocorticosterone+allo-tetrahydrocorticosterone/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol [Molar ratio] in 24 hour Urine,1,Laboratory,11-Dehydrocorticosterone+tetrahydrocorticosterone+Allo-tetrahydrocorticosterone/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol|SRto|Urine,0
